"scenario","compartment","date","death_calibrated","y_mean","iso3c"
"Additional 50% Reduction","hospital_demand",2020-02-14,FALSE,0,"AFG"
"Additional 50% Reduction","ICU_demand",2020-02-14,FALSE,0,"AFG"
"Additional 50% Reduction","infections",2020-02-14,FALSE,0,"AFG"
"Additional 50% Reduction","hospital_incidence",2020-02-14,FALSE,0,"AFG"
"Additional 50% Reduction","ICU_incidence",2020-02-14,FALSE,0,"AFG"
"Additional 50% Reduction","cumulative_infections",2020-02-14,FALSE,0,"AFG"
"Maintain Status Quo","hospital_demand",2020-02-14,FALSE,0,"AFG"
"Maintain Status Quo","ICU_demand",2020-02-14,FALSE,0,"AFG"
"Maintain Status Quo","infections",2020-02-14,FALSE,0,"AFG"
"Maintain Status Quo","hospital_incidence",2020-02-14,FALSE,0,"AFG"
"Maintain Status Quo","ICU_incidence",2020-02-14,FALSE,0,"AFG"
"Maintain Status Quo","cumulative_infections",2020-02-14,FALSE,0,"AFG"
"Relax Interventions 50%","hospital_demand",2020-02-14,FALSE,0,"AFG"
"Relax Interventions 50%","ICU_demand",2020-02-14,FALSE,0,"AFG"
"Relax Interventions 50%","infections",2020-02-14,FALSE,0,"AFG"
"Relax Interventions 50%","hospital_incidence",2020-02-14,FALSE,0,"AFG"
"Relax Interventions 50%","ICU_incidence",2020-02-14,FALSE,0,"AFG"
"Relax Interventions 50%","cumulative_infections",2020-02-14,FALSE,0,"AFG"
"Additional 50% Reduction","hospital_demand",2020-02-15,FALSE,0,"AFG"
"Additional 50% Reduction","ICU_demand",2020-02-15,FALSE,0,"AFG"
"Additional 50% Reduction","infections",2020-02-15,FALSE,27.01,"AFG"
"Additional 50% Reduction","hospital_incidence",2020-02-15,FALSE,0.01,"AFG"
"Additional 50% Reduction","ICU_incidence",2020-02-15,FALSE,0,"AFG"
"Additional 50% Reduction","cumulative_infections",2020-02-15,FALSE,27.01,"AFG"
"Maintain Status Quo","hospital_demand",2020-02-15,FALSE,0,"AFG"
"Maintain Status Quo","ICU_demand",2020-02-15,FALSE,0,"AFG"
"Maintain Status Quo","infections",2020-02-15,FALSE,27.01,"AFG"
"Maintain Status Quo","hospital_incidence",2020-02-15,FALSE,0.01,"AFG"
"Maintain Status Quo","ICU_incidence",2020-02-15,FALSE,0,"AFG"
"Maintain Status Quo","cumulative_infections",2020-02-15,FALSE,27.01,"AFG"
"Relax Interventions 50%","hospital_demand",2020-02-15,FALSE,0,"AFG"
"Relax Interventions 50%","ICU_demand",2020-02-15,FALSE,0,"AFG"
"Relax Interventions 50%","infections",2020-02-15,FALSE,27.01,"AFG"
"Relax Interventions 50%","hospital_incidence",2020-02-15,FALSE,0.01,"AFG"
"Relax Interventions 50%","ICU_incidence",2020-02-15,FALSE,0,"AFG"
"Relax Interventions 50%","cumulative_infections",2020-02-15,FALSE,27.01,"AFG"
"Additional 50% Reduction","hospital_demand",2020-02-16,FALSE,0.02,"AFG"
"Additional 50% Reduction","ICU_demand",2020-02-16,FALSE,0.01,"AFG"
"Additional 50% Reduction","infections",2020-02-16,FALSE,37.85,"AFG"
"Additional 50% Reduction","hospital_incidence",2020-02-16,FALSE,0.03,"AFG"
"Additional 50% Reduction","ICU_incidence",2020-02-16,FALSE,0.02,"AFG"
"Additional 50% Reduction","cumulative_infections",2020-02-16,FALSE,64.86,"AFG"
"Maintain Status Quo","hospital_demand",2020-02-16,FALSE,0.02,"AFG"
"Maintain Status Quo","ICU_demand",2020-02-16,FALSE,0.01,"AFG"
"Maintain Status Quo","infections",2020-02-16,FALSE,37.85,"AFG"
"Maintain Status Quo","hospital_incidence",2020-02-16,FALSE,0.03,"AFG"
"Maintain Status Quo","ICU_incidence",2020-02-16,FALSE,0.02,"AFG"
"Maintain Status Quo","cumulative_infections",2020-02-16,FALSE,64.86,"AFG"
"Relax Interventions 50%","hospital_demand",2020-02-16,FALSE,0.02,"AFG"
"Relax Interventions 50%","ICU_demand",2020-02-16,FALSE,0.01,"AFG"
"Relax Interventions 50%","infections",2020-02-16,FALSE,37.85,"AFG"
"Relax Interventions 50%","hospital_incidence",2020-02-16,FALSE,0.03,"AFG"
"Relax Interventions 50%","ICU_incidence",2020-02-16,FALSE,0.02,"AFG"
"Relax Interventions 50%","cumulative_infections",2020-02-16,FALSE,64.86,"AFG"
"Additional 50% Reduction","hospital_demand",2020-02-17,FALSE,0.07,"AFG"
"Additional 50% Reduction","ICU_demand",2020-02-17,FALSE,0.03,"AFG"
"Additional 50% Reduction","infections",2020-02-17,FALSE,44.53,"AFG"
"Additional 50% Reduction","hospital_incidence",2020-02-17,FALSE,0.08,"AFG"
"Additional 50% Reduction","ICU_incidence",2020-02-17,FALSE,0.03,"AFG"
"Additional 50% Reduction","cumulative_infections",2020-02-17,FALSE,109.39,"AFG"
"Maintain Status Quo","hospital_demand",2020-02-17,FALSE,0.07,"AFG"
"Maintain Status Quo","ICU_demand",2020-02-17,FALSE,0.03,"AFG"
"Maintain Status Quo","infections",2020-02-17,FALSE,44.53,"AFG"
"Maintain Status Quo","hospital_incidence",2020-02-17,FALSE,0.08,"AFG"
"Maintain Status Quo","ICU_incidence",2020-02-17,FALSE,0.03,"AFG"
"Maintain Status Quo","cumulative_infections",2020-02-17,FALSE,109.39,"AFG"
"Relax Interventions 50%","hospital_demand",2020-02-17,FALSE,0.07,"AFG"
"Relax Interventions 50%","ICU_demand",2020-02-17,FALSE,0.03,"AFG"
"Relax Interventions 50%","infections",2020-02-17,FALSE,44.53,"AFG"
"Relax Interventions 50%","hospital_incidence",2020-02-17,FALSE,0.08,"AFG"
"Relax Interventions 50%","ICU_incidence",2020-02-17,FALSE,0.03,"AFG"
"Relax Interventions 50%","cumulative_infections",2020-02-17,FALSE,109.39,"AFG"
"Additional 50% Reduction","hospital_demand",2020-02-18,FALSE,0.17,"AFG"
"Additional 50% Reduction","ICU_demand",2020-02-18,FALSE,0.08,"AFG"
"Additional 50% Reduction","infections",2020-02-18,FALSE,52.4,"AFG"
"Additional 50% Reduction","hospital_incidence",2020-02-18,FALSE,0.13,"AFG"
"Additional 50% Reduction","ICU_incidence",2020-02-18,FALSE,0.06,"AFG"
"Additional 50% Reduction","cumulative_infections",2020-02-18,FALSE,161.79,"AFG"
"Maintain Status Quo","hospital_demand",2020-02-18,FALSE,0.17,"AFG"
"Maintain Status Quo","ICU_demand",2020-02-18,FALSE,0.08,"AFG"
"Maintain Status Quo","infections",2020-02-18,FALSE,52.4,"AFG"
"Maintain Status Quo","hospital_incidence",2020-02-18,FALSE,0.13,"AFG"
"Maintain Status Quo","ICU_incidence",2020-02-18,FALSE,0.06,"AFG"
"Maintain Status Quo","cumulative_infections",2020-02-18,FALSE,161.79,"AFG"
"Relax Interventions 50%","hospital_demand",2020-02-18,FALSE,0.17,"AFG"
"Relax Interventions 50%","ICU_demand",2020-02-18,FALSE,0.08,"AFG"
"Relax Interventions 50%","infections",2020-02-18,FALSE,52.4,"AFG"
"Relax Interventions 50%","hospital_incidence",2020-02-18,FALSE,0.13,"AFG"
"Relax Interventions 50%","ICU_incidence",2020-02-18,FALSE,0.06,"AFG"
"Relax Interventions 50%","cumulative_infections",2020-02-18,FALSE,161.79,"AFG"
"Additional 50% Reduction","hospital_demand",2020-02-19,FALSE,0.33,"AFG"
"Additional 50% Reduction","ICU_demand",2020-02-19,FALSE,0.15,"AFG"
"Additional 50% Reduction","infections",2020-02-19,FALSE,63.32,"AFG"
"Additional 50% Reduction","hospital_incidence",2020-02-19,FALSE,0.19,"AFG"
"Additional 50% Reduction","ICU_incidence",2020-02-19,FALSE,0.08,"AFG"
"Additional 50% Reduction","cumulative_infections",2020-02-19,FALSE,225.11,"AFG"
"Maintain Status Quo","hospital_demand",2020-02-19,FALSE,0.33,"AFG"
"Maintain Status Quo","ICU_demand",2020-02-19,FALSE,0.15,"AFG"
"Maintain Status Quo","infections",2020-02-19,FALSE,63.32,"AFG"
"Maintain Status Quo","hospital_incidence",2020-02-19,FALSE,0.19,"AFG"
"Maintain Status Quo","ICU_incidence",2020-02-19,FALSE,0.08,"AFG"
"Maintain Status Quo","cumulative_infections",2020-02-19,FALSE,225.11,"AFG"
"Relax Interventions 50%","hospital_demand",2020-02-19,FALSE,0.33,"AFG"
"Relax Interventions 50%","ICU_demand",2020-02-19,FALSE,0.15,"AFG"
"Relax Interventions 50%","infections",2020-02-19,FALSE,63.32,"AFG"
"Relax Interventions 50%","hospital_incidence",2020-02-19,FALSE,0.19,"AFG"
"Relax Interventions 50%","ICU_incidence",2020-02-19,FALSE,0.08,"AFG"
"Relax Interventions 50%","cumulative_infections",2020-02-19,FALSE,225.11,"AFG"
"Additional 50% Reduction","hospital_demand",2020-02-20,FALSE,0.53,"AFG"
"Additional 50% Reduction","ICU_demand",2020-02-20,FALSE,0.24,"AFG"
"Additional 50% Reduction","infections",2020-02-20,FALSE,77.9,"AFG"
"Additional 50% Reduction","hospital_incidence",2020-02-20,FALSE,0.26,"AFG"
"Additional 50% Reduction","ICU_incidence",2020-02-20,FALSE,0.11,"AFG"
"Additional 50% Reduction","cumulative_infections",2020-02-20,FALSE,303,"AFG"
"Maintain Status Quo","hospital_demand",2020-02-20,FALSE,0.53,"AFG"
"Maintain Status Quo","ICU_demand",2020-02-20,FALSE,0.24,"AFG"
"Maintain Status Quo","infections",2020-02-20,FALSE,77.9,"AFG"
"Maintain Status Quo","hospital_incidence",2020-02-20,FALSE,0.26,"AFG"
"Maintain Status Quo","ICU_incidence",2020-02-20,FALSE,0.11,"AFG"
